No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
480;143,751481;;143,751481;143,751481;0;;-0,000171;1,30E-05;0,000184
481;143,751481;;143,751481;143,751652;0,000171;;1,30E-05;-0,00329;-0,003303
482;143,751652;;143,751652;143,75181;0,000158;;-0,00329;-0,047365;-0,044075
483;143,75181;;143,75181;143,755258;0,003448;;-0,047365;0,040819;0,088184
484;143,755258;;143,755258;143,806071;0,050813;;0,040819;0,009994;-0,030825
485;143,806071;;143,806071;143,816065;0,009994;;0,009994;-0,000145;-0,010139
486;143,816065;;143,816065;143,816065;0;;-0,000145;-0,000175;-3,00E-05
487;143,816065;;143,816065;143,81621;0,000145;;-0,000175;0,000227;0,000402
488;143,81621;;143,81621;143,81653;0,00032;;0,000227;-0,000318;-0,000545
489;143,81653;;143,81653;143,816623;9,30E-05;;-0,000318;0,000348;0,000666
490;143,816623;;143,816623;143,817034;0,000411;;0,000348;-0,001599;-0,001947
491;143,817034;;143,817034;143,817097;6,30E-05;;-0,001599;0,001465;0,003064
492;143,817097;;143,817097;143,818759;0,001662;;0,001465;-0,002611;-0,004076
493;143,818759;;143,818759;143,818956;0,000197;;-0,002611;-0,039644;-0,037033
494;143,818956;;143,818956;143,821764;0,002808;;-0,039644;0,042294;0,081938
495;143,821764;;143,821764;143,864216;0,042452;;0,042294;-0,001662;-0,043956
496;143,864216;;143,864216;143,864374;0,000158;;-0,001662;0,00182;0,003482
497;143,864374;;143,864374;143,866194;0,00182;;0,00182;-0,00012;-0,00194
498;143,866194;;143,866194;143,866194;0;;-0,00012;-4,00E-06;0,000116
499;143,866194;;143,866194;143,866314;0,00012;;-4,00E-06;-9,60E-05;-9,20E-05
500;143,866314;;143,866314;143,866438;0,000124;;-9,60E-05;0,000135;0,000231
501;143,866438;;143,866438;143,866658;0,00022;;0,000135;-0,003926;-0,004061
502;143,866658;;143,866658;143,866743;8,50E-05;;-0,003926;0,004011;0,007937
503;143,866743;;143,866743;143,870754;0,004011;;0,004011;-0,000315;-0,004326
504;143,870754;;143,870754;143,870754;0;;-0,000315;-0,002023;-0,001708
505;143,870754;;143,870754;143,871069;0,000315;;-0,002023;-0,046466;-0,044443
506;143,871069;;143,871069;143,873407;0,002338;;-0,046466;0,045933;0,092399
507;143,873407;;143,873407;143,922211;0,048804;;0,045933;0,002638;-0,043295
508;143,922211;;143,922211;143,925082;0,002871;;0,002638;-0,001485;-0,004123
509;143,925082;;143,925082;143,925315;0,000233;;-0,001485;0,001718;0,003203
510;143,925315;;143,925315;143,927033;0,001718;;0,001718;-0,000146;-0,001864
511;143,927033;;143,927033;143,927033;0;;-0,000146;-0,000374;-0,000228
512;143,927033;;143,927033;143,927179;0,000146;;-0,000374;0,000426;0,0008
513;143,927179;;143,927179;143,927699;0,00052;;0,000426;-0,003962;-0,004388
514;143,927699;;143,927699;143,927793;9,40E-05;;-0,003962;0,003939;0,007901
515;143,927793;;143,927793;143,931849;0,004056;;0,003939;-0,00211;-0,006049
516;143,931849;;143,931849;143,931966;0,000117;;-0,00211;-0,038572;-0,036462
